Country Name,If Closed due to COVID19 When,Income Level,Region Name,School Status,Year Pre,Year Prm,Year Sec,Year Ter,Latitude,Longitude,Total Enrollment,Total Pre Primary,Total Primary Students,Total Secondary Students,Total Tertiary Students,Enrollment Txt,Se Pre Enrl,Se Prm Enrl,Seconday Enrollment,Tertiary Enrollment
Eritrea,,Low income,Sub-Saharan Africa,Closed,2018,2018,2018,2016,15.982,38.02,667452,47047,349753,260421,10231,"6,67,452","47,047","3,49,753","2,60,421","10,231"
Guinea-Bissau,,Low income,Sub-Saharan Africa,Closed,2010,2010,2006,2006,12.191,-14.475,346705,8950,278890,55176,3689,"3,46,705","8,950","2,78,890","55,176","3,689"
San Marino,1-Mar,High income,Europe and Central Asia,Closed,2018,2018,2018,2018,43.942,12.4611,4999,909,1698,1653,739,4999,909,"1,698","1,653",739
Georgia,3-Mar,Upper middle income,Europe and Central Asia,Closed,2008,2018,2018,2019,42.05,43.576,815661,78642,305368,280425,151226,"8,15,661","78,642","3,05,368","2,80,425","1,51,226"
Italy,3-Mar,High income,Europe and Central Asia,Closed,2017,2017,2017,2017,44.3713,11.1084,10876792,1535493,2902379,4601869,1837051,"1,08,76,792","15,35,493","29,02,379","46,01,869","18,37,051"
Mongolia,1-Jan-20,Lower middle income,East Asia and Pacific,Closed,2018,2018,2010,2018,46.516,102.564,999014,256720,311063,275983,155248,"9,99,014","2,56,720","3,11,063","2,75,983","1,55,248"
"Yemen, Rep.",1-Mar-20,Low income,Middle East and North Africa,Closed,2016,2016,2016,2011,15.569,47.793,6119823,36320,3900134,1915871,267498,"61,19,823","36,320","39,00,134","19,15,871","2,67,498"
West Bank and Gaza,5-Mar-20,Lower middle income,Middle East and North Africa,Closed,2018,2018,2018,2018,32.097,35.26,1626357,150851,488184,764986,222336,"16,26,357","1,50,851","4,88,184","7,64,986","2,22,336"
Bhutan,9-Mar-20,Lower middle income,South Asia,Closed,2018,2018,2018,2018,27.5342,90.3002,188432,8499,91768,76221,11944,"1,88,432","8,499","91,768","76,221","11,944"
Saudi Arabia,9-Mar-20,High income,Middle East and North Africa,Closed,2018,2018,2018,2018,24.191,44.32,8410264,382601,3298788,3108384,1620491,"84,10,264","3,82,601","32,98,788","31,08,384","16,20,491"
Bosnia and Herzegovina,10-Mar,Upper middle income,Europe and Central Asia,Closed,2018,2018,2018,2018,44.342,17.804,523241,21005,159380,247714,95142,"5,23,241","21,005","1,59,380","2,47,714","95,142"
North Macedonia,10-Mar,Upper middle income,Europe and Central Asia,Closed,2017,2017,2017,2017,41.636,21.676,359623,27886,109121,161128,61488,"3,59,623","27,886","1,09,121","1,61,128","61,488"
Philippines,10-Mar-20,Lower middle income,East Asia and Pacific,Closed,2017,2017,2017,2017,17.181,121.256,28451212,1814713,14039867,9007148,3589484,"2,84,51,212","18,14,713","1,40,39,867","90,07,148","35,89,484"
Azerbaijan,11-Mar,Upper middle income,Europe and Central Asia,Closed,2018,2018,2018,2018,40.46,47.883,1983999,203011,635153,945226,200609,"19,83,999","2,03,011","6,35,153","9,45,226","2,00,609"
Czech Republic,11-Mar,High income,Europe and Central Asia,Closed,2017,2017,2017,2017,49.848,15.2812,2068763,367453,575980,772457,352873,"20,68,763","3,67,453","5,75,980","7,72,457","3,52,873"
Moldova,11-Mar,Lower middle income,Europe and Central Asia,Closed,2018,2018,2018,2018,47.524,28.444,586158,132459,140141,226281,87277,"5,86,158","1,32,459","1,40,141","2,26,281","87,277"
Panama,11-Mar,High income,Latin America and Caribbean,Closed,2017,2017,2017,2016,8.348,-81.005,998348,95481,418852,322913,161102,"9,98,348","95,481","4,18,852","3,22,913","1,61,102"
Paraguay,11-Mar,Upper middle income,Latin America and Caribbean,Closed,2016,2016,2016,2010,-23.266,-58.409,1744889,181007,727363,611308,225211,"17,44,889","1,81,007","7,27,363","6,11,308","2,25,211"
Costa Rica,12-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2018,10.126,-84.075,1317482,140344,483770,476668,216700,"13,17,482","1,40,344","4,83,770","4,76,668","2,16,700"
Ireland,12-Mar,High income,Europe and Central Asia,Closed,2017,2017,2017,2017,53.214,-7.588,1289122,112646,559151,392294,225031,"12,89,122","1,12,646","5,59,151","3,92,294","2,25,031"
Latvia,12-Mar,High income,Europe and Central Asia,Closed,2017,2017,2017,2017,57.017,25.0173,396782,75002,121506,117360,82914,"3,96,782","75,002","1,21,506","1,17,360","82,914"
El Salvador,12-Mar,Lower middle income,Latin America and Caribbean,Closed,2018,2018,2018,2018,13.848,-89.229,1604845,230010,662740,521576,190519,"16,04,845","2,30,010","6,62,740","5,21,576","1,90,519"
Turkey,12-Mar,Upper middle income,Europe and Central Asia,Closed,2017,2017,2017,2017,39.144,34.188,24901924,1326123,4972430,11404385,7198987,"2,49,01,924","13,26,123","49,72,430","1,14,04,385","71,98,987"
Argentina,13-Mar,Upper middle income,Latin America and Caribbean,Closed,2017,2017,2017,2017,-33.166,-64.31,14202149,1694680,4753843,4612663,3140963,"1,42,02,149","16,94,680","47,53,843","46,12,663","31,40,963"
Bulgaria,13-Mar,Upper middle income,Europe and Central Asia,Closed,2017,2017,2017,2017,42.625,24.521,1224406,224380,264503,485586,249937,"12,24,406","2,24,380","2,64,503","4,85,586","2,49,937"
Bolivia,13-Mar,Lower middle income,Latin America and Caribbean,Closed,2018,2018,2018,,-16.71,-65.183,2966735,353898,1379099,1233738,0,"29,66,735","3,53,898","13,79,099","12,33,738",
Ecuador,13-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2015,-1.151,-78.308,5131897,638551,1932261,1891648,669437,"51,31,897","6,38,551","19,32,261","18,91,648","6,69,437"
Honduras,13-Mar,Lower middle income,Latin America and Caribbean,Closed,2017,2017,2017,2018,14.881,-87.123,2290953,245010,1123945,655090,266908,"22,90,953","2,45,010","11,23,945","6,55,090","2,66,908"
Jamaica,13-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2015,18.163,-77.477,627156,103220,248836,200563,74537,"6,27,156","1,03,220","2,48,836","2,00,563","74,537"
Montenegro,13-Mar,Upper middle income,Europe and Central Asia,Closed,2018,2018,2018,2018,42.857,19.096,135689,15490,39288,57085,23826,"1,35,689","15,490","39,288","57,085","23,826"
United States,13-Mar,High income,North America,Closed,2017,2017,2017,2017,40.0792,-98.8164,77678496,8752326,25123678,24787964,19014530,"7,76,78,496","87,52,326","2,51,23,678","2,47,87,964","1,90,14,530"
Gabon,13-Mar-20,Upper middle income,Sub-Saharan Africa,Closed,2011,2011,2002,2003,-0.406,11.914,478438,45225,317946,105191,10076,"4,78,438","45,225","3,17,946","1,05,191","10,076"
Sri Lanka,13-Mar-20,Upper middle income,South Asia,Closed,2018,2018,2018,2018,7.3,80.727,5218372,464189,1725424,2727965,300794,"52,18,372","4,64,189","17,25,424","27,27,965","3,00,794"
Pakistan,13-Mar-20,Lower middle income,South Asia,Closed,2018,2018,2018,2018,28.1854,66.6429,46803404,8636383,22931304,13357618,1878101,"4,68,03,404","86,36,383","2,29,31,304","1,33,57,618","18,78,101"
Montserrat,14-Mar,,,Closed,2018,,,2010,16.7492,-62.1928,146,85,0,0,61,146,85,,,61
Suriname,14-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2002,4.248,-55.848,149434,18150,67690,58408,5186,"1,49,434","18,150","67,690","58,408","5,186"
Trinidad and Tobago,14-Mar,High income,Latin America and Caribbean,Closed,2007,2010,2004,2004,10.4435,-61.2604,283067,29585,131350,105381,16751,"2,83,067","29,585","1,31,350","1,05,381","16,751"
Mauritania,14-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2015,2018,2018,2017,19.413,-10.6528,947589,36182,655261,236775,19371,"9,47,589","36,182","6,55,261","2,36,775","19,371"
Sudan,14-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2017,2017,2017,2015,15.739,29.533,8824167,1066381,4899664,2205034,653088,"88,24,167","10,66,381","48,99,664","22,05,034","6,53,088"
Senegal,14-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2018,2018,2018,2018,15.044,-15.081,3660526,246677,2142227,1086743,184879,"36,60,526","2,46,677","21,42,227","10,86,743","1,84,879"
Afghanistan,15-Mar-20,Low income,South Asia,Closed,2003,2018,2018,2018,34.023,65.5267,10003625,24220,6544906,3063889,370610,"1,00,03,625","24,220","65,44,906","30,63,889","3,70,610"
Jordan,15-Mar-20,Upper middle income,Middle East and North Africa,Closed,2018,2018,2018,2018,30.681,36.279,2372736,128036,1133982,789822,320896,"23,72,736","1,28,036","11,33,982","7,89,822","3,20,896"
Rwanda,15-Mar-20,Low income,Sub-Saharan Africa,Closed,2018,2018,2018,2018,-1.887,29.904,3464409,226706,2503705,658285,75713,"34,64,409","2,26,706","25,03,705","6,58,285","75,713"
Antigua and Barbuda,16-Mar,High income,Latin America and Caribbean,Closed,2018,2018,2018,2012,17.625,-61.786,21821,2050,10123,7856,1792,21821,"2,050","10,123","7,856","1,792"
"Bahamas, The",16-Mar,High income,Latin America and Caribbean,Closed,2018,2018,2018,1995,24.7032,-78.0455,63942,3594,29504,26884,3960,63942,"3,594","29,504","26,884","3,960"
Belize,16-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2017,17.108,-88.744,107891,7349,50764,40353,9425,"1,07,891","7,349","50,764","40,353","9,425"
Brazil,16-Mar,Upper middle income,Latin America and Caribbean,Closed,2017,2017,2017,2017,-11.694,-48.978,52898352,5101935,16106812,23118180,8571423,"5,28,98,352","51,01,935","1,61,06,812","2,31,18,180","85,71,423"
Chile,16-Mar,High income,Latin America and Caribbean,Closed,2017,2017,2017,2017,-23.176,-69.201,4891092,616615,1514761,1520724,1238992,"48,91,092","6,16,615","15,14,761","15,20,724","12,38,992"
Colombia,16-Mar,Upper middle income,Latin America and Caribbean,Closed,2011,2018,2018,2018,3.794,-73.606,12842289,1309386,4303833,4821029,2408041,"1,28,42,289","13,09,386","43,03,833","48,21,029","24,08,041"
Cayman Islands,16-Mar,High income,Latin America and Caribbean,Closed,2018,2018,2018,2008,19.3299,-81.1715,10094,1407,4299,3476,912,10094,"1,407","4,299","3,476",912
Dominican Republic,16-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2017,19.01,-70.1685,3006800,299149,1226414,924714,556523,"30,06,800","2,99,149","12,26,414","9,24,714","5,56,523"
